X,Y,field_1,Latitude,Longitude,layer,path
-3.3918873921995,5.372615547222,87,5.372615547222000,-3.391887392199500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3916706743825,5.372734348774,42,5.372734348774000,-3.391670674382500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3916746017235,5.372814861874,26,5.372814861874002,-3.391674601723500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3913950464505,5.372734348774,31,5.372734348774000,-3.391395046450500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3918202703715,5.372652046494,96,5.372652046494000,-3.391820270371500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3913957605125,5.37265061515,45,5.372650615150000,-3.391395760512500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3914664526505,5.372530382254,46,5.372530382254000,-3.391466452650500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3915364307265,5.37265598269,36,5.372655982690000,-3.391536430726500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3916089080195,5.37252895091,39,5.372528950910000,-3.391608908019500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3915360736955,5.372813788366,53,5.372813788366000,-3.391536073695500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3916046236475,5.372775499914,55,5.372775499914000,-3.391604623647500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3914668096815,5.372693197634,57,5.372693197634000,-3.391466809681500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3914625253095,5.372616262894,44,5.372616262894000,-3.391462525309500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3915357166645,5.372592287882,65,5.372592287882000,-3.391535716664500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3914021870705,5.37257010205,66,5.372570102050000,-3.391402187070500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3916803142195,5.372569386378,70,5.372569386378000,-3.391680314219500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3916064088025,5.372608748338,50,5.372608748338000,-3.391606408802500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3915367877575,5.37273112825,90,5.372731128250000,-3.391536787757500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3916774579715,5.372652046494,92,5.372652046494000,-3.391677457971500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3916064088025,5.372692839798,93,5.372692839798000,-3.391606408802500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3913921902025,5.372810925678,58,5.372810925678000,-3.391392190202500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3911847551915,5.372776215586,16,5.372776215586002,-3.391184755191500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3911112068055,5.372808778662,17,5.372808778662000,-3.391111206805500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3913275675915,5.372529666582,19,5.372529666582000,-3.391327567591500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3914625253095,5.372771563718,72,5.372771563718000,-3.391462525309500,108,D:\DATA_\Points_D5\108.shp|layername=108
-3.3912522340505,5.372728265562,39,5.372728265562000,-3.391252234050500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3911847551915,5.37252537255,41,5.372525372550000,-3.391184755191500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3911876114395,5.372694271142,24,5.372694271142000,-3.391187611439500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3912543762365,5.372567597198,25,5.372567597198000,-3.391254376236500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3912493778025,5.372647394626,47,5.372647394626000,-3.391249377802500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3911108497745,5.37272933907,49,5.372729339070000,-3.391110849774500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3910447990395,5.37260230729,27,5.372602307290000,-3.391044799039500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3910394435745,5.372767269686,36,5.372767269686000,-3.391039443574500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3912522340505,5.372807347318,61,5.372807347318000,-3.391252234050500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3910451560705,5.372680315538,64,5.372680315538000,-3.391045156070500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3911212036735,5.372565450182,43,5.372565450182000,-3.391121203673500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3911176333635,5.372645963282,45,5.372645963282000,-3.391117633363500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3953845108445,5.373850439258,17,5.373850439258002,-3.395384510844500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3955298224615,5.37385115493,44,5.373851154930002,-3.395529822461500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3913261394675,5.372609106174,59,5.372609106174000,-3.391326139467500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3913239972815,5.372771205882,60,5.372771205882002,-3.391323997281500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3955962302275,5.37389409525,53,5.373894095250002,-3.395596230227500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3956069411575,5.373574547702,59,5.373574547702002,-3.395606941157500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3910440849775,5.372520720682,65,5.372520720682000,-3.391044084977500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3913204269715,5.372689261438,93,5.372689261438000,-3.391320426971500,109,D:\DATA_\Points_D5\109.shp|layername=109
-3.3953163179235,5.373814297822,70,5.373814297822000,-3.395316317923500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3954573451685,5.373895526594,71,5.373895526594000,-3.395457345168500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3953173890165,5.373898747118,49,5.373898747118000,-3.395317389016500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3954651998505,5.373739867934,51,5.373739867934002,-3.395465199850500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3953898663095,5.373607468614,80,5.373607468614002,-3.395389866309500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3956015856925,5.37373306905,83,5.373733069050000,-3.395601585692500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3956033708475,5.373813939986,66,5.373813939986000,-3.395603370847500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3953234585435,5.37357383203,68,5.373573832030000,-3.395323458543500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3954644857885,5.373572400686,88,5.373572400686000,-3.395464485788500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3955326787095,5.373766705634,90,5.373766705634000,-3.395532678709500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3954569881375,5.373818591854,75,5.373818591854000,-3.395456988137500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3954552029825,5.37366329103,77,5.373663291030002,-3.395455202982500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3953195312025,5.373733426886,94,5.373733426886000,-3.395319531202500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3953895092785,5.37369012873,95,5.373690128730002,-3.395389509278500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3953873670925,5.373771715338,84,5.373771715338000,-3.395387367092500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3955333927715,5.373614267498,86,5.373614267498002,-3.395533392771500,11,D:\DATA_\Points_D5\11.shp|layername=11
-3.3956040849095,5.373654702966,97,5.373654702966000,-3.395604084909500,11,D:\DATA_\Points_D5\11.shp|layername=11
